text,target
çürük dişli,INSULT
Bu adamın islama ve müslümanlara verdiği zararı Gavur bile yapmaz !,RACIST
erkekler zora gelmez,SEXIST
Utanmazın götüne kazık sokmuşlar bu tıkırtı nereden geliyor demiş,PROFANITY
otomasyon< sistemlerine= doğrudan bağlanabilir,OTHER
amını siktiğimin yarrağı,PROFANITY
ekipte bir cücemiz eksikti o da oldu,INSULT
Kadın yönetici sayısı oldukça az olduğu için şirket iyi yönetilmekte,SEXIST
makara bunu duyunca avluya çıkmış ve kızağa samanların altına bir balta saklamış,OTHER
hay ebenin pembe patiğine sıçayım bok kafalı,PROFANITY
Suriyeliler yozlaşıp toplumda huzuru bozuyorlar,RACIST
işe yaramaz herif,INSULT
ah canım kızın var mı sızın var,SEXIST
Sikimde misin lan sen amcık hoşafı,PROFANITY
kadın dırdırı,SEXIST
annenin babası bir türk bile olsa umurumda değil ama tanrıya inanmadığını öğrenirsem intihar ederim,RACIST
sen ne kadar terbiyesizsin,INSULT
Özsaygısı düşük birisin,INSULT
ben bunu istemedim,OTHER
Moskof gavurumusun,RACIST
Ananın amına ceviz sokayım,PROFANITY
senin jeton kaç köşeli,INSULT
köpek gibi ne havlayıp duruyorsun,INSULT
kasaba muhtaç olacağıma sikimi keser onu yerim,PROFANITY
ancak bana geri dönmediler,OTHER
özellikle büyük şehirlere aynı gün içinde değişik saatlerde birçok sefer yapılmaktadır,OTHER
Hey George senin sorunun bir Amerikalı olman dostum,RACIST
bir böcek gibi tiksiniyorum senden,INSULT
bir terapi belki de,OTHER
Kadın evinin süsüdür ve ona göre hareket etmelidir,SEXIST
Bu aptalca bir fikir neden daha iyi bir şey bulmaya çalışmıyorsun,INSULT
çanakkale bigadiçli nazife kadın,OTHER
Erkeğin şeytanı kadın,SEXIST
Zeki olduğunu düşünen bir kadın erkekle aynı hakları ister Zeki bir kadın vazgeçer,SEXIST
kadın kocasına ömrünü dar eder,SEXIST
siz siz olun hayatınıza birden bire giren bu mallara prim vermeyin,INSULT
Bunları toplayacaksın dolduracaksın fırınlara yakacaksın Hitler’in Yahudilere yaptığı gibi,RACIST
agzina salincak kurar sallana sallana sicarim,PROFANITY
makineler bilgilerini çok çabuk olarak paylaşabilirler,OTHER
İspanyolların hepsinin	en& az 10	çocukları& var,RACIST
siktir git büyük yazdım seneye okursun,PROFANITY
amın. oğlu sebastiyan,PROFANITY
Erkek dediğin adam gibi olur,SEXIST
Suriyelilere gıcığız,RACIST
Bu kadar ezik davranma lütfen,INSULT
Seni cibiliyetsiz orospunun doğurduğu,PROFANITY
kırmızı büyük< harflerden oluşan savaş logosunu üstteki satıra yazılan türklük< ve mukaddesat düşmanlarıyla- ibaresi tamamlıyordu,OTHER
ayak ayak değil toynak,INSULT
Çingene evinde kaymak eğlenmez / bulunmaz,RACIST
gümrük idarelerinin otomasyona geçmesiyle ihracat işlemlerinde gümrüklerde yaşanan bürokrasi kısmen azaltılmış olsa da halen devam etmektedir,OTHER
ve yıllar sonra boşandı,OTHER
Boyle giderse cevresinde kimse kalmayacak,INSULT
türk yemeklerinin tipik özelliklerinden biri değişik besin gruplarında yer alan yiyeceklerin karıştırılarak bir arada pişirilmesidir,OTHER
senin neyine güveneyim,INSULT
bahçesi olan ve hayvanların çok sevildiği bir evde büyüdüm,OTHER
Kızılbaşlar gibi sakalını traş edip sadece bıyık bırakır,RACIST
Bu çocuk adam olamaz,INSULT
o erken kalkmaya çalıştı,OTHER
Bunu kızlar bile yapar,SEXIST
Erkek yanaşıyosa kesin kadın kuyruk sallıyodur,SEXIST
benim de kürt arkadaşlarım var iyiler de var aslında,RACIST
ebenin götüne çam dikerim gölgesinde bacını öperim,PROFANITY
Dürüstçe söylemek gerekirse orospulaşmış ruhlarınıza güvenmiyorum,PROFANITY
Sağlık hizmetlerimiz mülteciler yüzünden işgal altında yeter artık,RACIST
havuçta yağ var mı,OTHER
ilk adım daima erkekten gelmelidir,SEXIST
Amerikan toplumunda siyahlar daha ırkçı ve çok daha saldırgan,RACIST
stres yönetimi ve gevşeme,OTHER
bulgun yıkama sırasında ısıtıcı devre ve pilin giysiden çıkartılabildiğini bildirdi,OTHER
Pısırık erkeğin yanında kadın durmaz,SEXIST
bu özellik ile tanımlanan özel derleme zamanı fonksiyonu şablonu çağırma şeklini basitleştirir,OTHER
ne kadar özür dilerse dilesin affetmeyeceğim o köpeği,INSULT
onu kapalı bir yere aldılar,OTHER
Kürt çaldığı zaman çingene oynarmış,RACIST
kulaklarınızı bu şekilde koruyun,OTHER
Sözünü geri al götverenliğin lüzumu yok,PROFANITY
Ruhsuz dalyarrak,PROFANITY
altı ve yedi arasında başlamalısın,OTHER
Yahudi gibi eski defterleri mi açacaksın geçip karşıma,RACIST
insanları kendinde tiksindiriyorsun,INSULT
burada açıklanan kongrenin şimdiye kadar yapılan erzurum ve sivas kongreleri gibi dışarıda ayrı bir kongre sayılması gerekli değildir,OTHER
bu ne halin yüzünde amele yanıkları oluşmuş,INSULT
ne kadar yeteneksizsin,INSULT
cam vitray yapımı da bir başka uygulama alanıdır,OTHER
durdun durdun turnayı götünden siksin,PROFANITY
Kadın dediğin kocasını memnun etmeyi bilir,SEXIST
ırkçılık almanyada gelişti,RACIST
melatonin ilaçlarının birçoğu kızılcıktan yapılır,OTHER
talep edilen mali destek tutarı proje maliyetinden daha yüksek olamaz,OTHER
köyün ilk adı da bilinmemektedir,OTHER
ayak kumda bir yere adım atar tekerlekse oraya kadar olan her noktaya değmek zorundadır,OTHER
ama hazırlanan düzenleme ortada,OTHER
telefonunun çıkarığı sese sokayım,PROFANITY
kadın renkli giyinmeli insanın baktıkça içi açılmalı,SEXIST
Koca götlü orospu seni,PROFANITY
erkek adam içgüveysi gitmez,SEXIST
bu konuda mevzuatımız yeterli değil,OTHER
Saçını kız gibi uzatmış,SEXIST
kopek diye dunyaya gelen insan oldugu sonradan anlasilan amina koyarim egri kafali orospu cocugu,PROFANITY
Siyahi- atlete birincilik ödülü verilirken eli sıkılmak istenmedi,RACIST
Ancak öyle öküzün trene baktığı gibi bakıp kalırsın.,INSULT
ardında özal ve ekibinin teknik çalışmaları vardı,OTHER
Karı gibi kırıtma düzgün yürü.,SEXIST
ananı sikerim baban olurum,PROFANITY
seni kibrit kutusunun üstüne yatırır sikerim,PROFANITY
erkeği günaha sürükleyen kadınlardır,SEXIST
Araplar haindir.,RACIST
allahsız= kitapsız,INSULT
nitekim bu örüntülerin ardından yakın kaynaklı çok küçük deprem kayıtları da görüldü,OTHER
bulgar göçmenleri buraya alışverişe gelir,OTHER
başkan yardımcılarımız tüm birim müdürlerimiz ve çalışanlarımızla sizlere daha iyi hizmet sunabilmek adına gece gündüz çalışıyoruz dedi,OTHER
abe kocam siksin seni be,PROFANITY
eli uzun biriydi o sakın ha eşyanı emanet edeyim dersin,INSULT
şehir servisleri ve vergiler oyundaki temel gelirlerdir,OTHER
gayrimenkul sermaye iradı nedir,OTHER
zenciler buraya giremez,RACIST
kadınlar ancak basit işler yapabilir,SEXIST
beni bu demoralize ediyor,OTHER
Çingene ile ahbap olursan mükafatın kalbur olur,RACIST
Kadın kısmı hiç küfür eder miymiş?,SEXIST
seni	bir sikerim bir	daha oturamazsın,PROFANITY
kavat orospu çocuğu,PROFANITY
Erkekler çok kabadır,SEXIST
evet hata mı alıyorsunuz,OTHER
Hayvanat bahçesinde görseler fındık fıstık atarlar,INSULT
yaratık boku,PROFANITY
kadın sürücü uzak dur,SEXIST
saçların çok kötü olmuş,INSULT
kadınlar olmasa erkekler bir hiçtir,SEXIST
100 tane penisin olsa yine de içime almam,PROFANITY
bakımsız paspal,INSULT
erkeksiz avrat hic bireye benzemez,SEXIST
Rum tohumu,RACIST
bu sanayileşmek değildir türkiyede bir pil alırsınız radyonuza yerli malı diye iftihar edersiniz bir hafta kullanabilirsiniz,OTHER
mert gül ile görüşüyorum,OTHER
Erkekler evi süpürmez,SEXIST
amcık sibobu,PROFANITY
polis memuru tanığı korudu,OTHER
seni& bi sikerim	cinsel hayatın düzene girer,PROFANITY
Çöplükte yaşamaya layıksın,INSULT
Sen ne beş para etmez adamsın be.,INSULT
öküz olma adam ol,SEXIST
Gavur icadı çıkartma başımıza,RACIST
çin ordusu ananin aminda manevra yapsin,PROFANITY
kadın tokat atsın erkek atmasın,SEXIST
Tiksiniyorum yaptıklarından yeter artık,INSULT
suriyeliler saldırganlar,RACIST
Kör müsün önüne baksana,INSULT
götüne yarrak girsin orospu,PROFANITY
O kadar değersizsin ki 1 milyoncularda bile bi ederin olmaz,INSULT
eğer hipertansiyonunuz olsaydı hissederdiniz,OTHER
Ruslar kendi halkına eziyet eden bir millettir,RACIST
cibiliyetsizler sürüsü gibi,INSULT
Osman Bey soyundan gelmeyen padişah olamaz,RACIST
bu geçerli bir bakış açısıdır,OTHER
ananı gökkuşağı altında sikerim çocukları renkli doğar,PROFANITY
gelip kocasına haber verdi,OTHER
şimdi taassup ortadan kalkınca dayanışma süreci başladı,OTHER
sokuk,PROFANITY
tam bir serefsiz,INSULT
O rus kızıyla evlenirse evlatlıktan red ederim,RACIST
geçtiğimiz aylarda türkiye ekonomisini yorumlayan koç önemli mesajlar vermişti,OTHER
Sikimin kurma kolu,PROFANITY
amcığını siktiğim karı benimdir,PROFANITY
kokuşmuş çoraplarına sıçayım,PROFANITY
bunun ise yarayacağını biliyorum,OTHER
Anasını siktiğimin piçi,PROFANITY
milletimizin geleceğe ilişkin inancını da yok etmeyelim,OTHER
Arap gibi kapkara olmuş,RACIST
Bir ise de yaramiyorsun,INSULT
Yahudiler araplarla aynı ırktan olup araplardan daha zeki olan bir millet,RACIST
arabayı kelden alacaksın> yakıtı shellden,INSULT
sıçtığım bok sus konuşma<,PROFANITY
Don olsan donsuz gezerim,INSULT
Senin bana bu yaptığını Yunan gavuru yapmazdı,RACIST
motor performansi neden azaldi,OTHER
çingenle arkadaş olunmaz,RACIST
fırtınalı sanatçı ruhu sevgi coşkusunun köpüğünü höpürdeterek içmiş bundan böyle kadın onun için tatsız bayat bir içkiyle dolu bir kadehten daha çok değer taşımaz olmuştu,OTHER
düşünce yetini mi kaybettin,INSULT
bıyığını siker ağzına sikimi sokarım,PROFANITY
Evde banka kocadır,SEXIST
Yunan evladı,RACIST
it soyundan gelme seni,INSULT
Anca sallana sallana gidersin öyle işte,INSULT
o genç gece dışarı çıktığında yakın ama ulaşamayacağı noktanın içine girince baskı yaratıyor ruhunda,OTHER
Almanyada alman& olmayanlara konut kiralamada< dikkat edildiği açıklandı,RACIST
Alevilere Kız Verilmez hiç bilmiyor musun,RACIST
Kadınlar içleri çürüktür,SEXIST
Amında öss sınavı yaparım 2 miyon kişi girer,PROFANITY
Çocuksuz kadın meyvesiz ağaca benzer,SEXIST
omuriliğini sikiyim,PROFANITY
Bunun gibi yeteneksizleri karşıma getirip durmayın,INSULT
ananın amında tatile çıkarım,PROFANITY
bu genel kurallara ek kurallar aşağıda belirtilmiştir ekmek ve ekmek çeşitleri ambalajlı olarak tüketime sunulur,OTHER
sus lan piç evladi,PROFANITY
Gevezelik etme,INSULT
edecek ise bu faaliyetler hangi esaslara göre sürdürülecektir,OTHER
ben dışarıda iken evin içinden silah sesi geldi,OTHER
lohusa başında salaşpur yırtar gibi ağzını yırtarım,PROFANITY
kadından yazılımcı olmaz,SEXIST
marka korumasi oldugunu belirten isareti mal veya ambalaj uzerinden yetkisi olmadan kaldiran kisi bir yildan uc yila kadar hapis ve bes bin gune kadar adli para cezasi ile cezalandirilir,OTHER
düşen kayalar yolu kapattı,OTHER
türkiye iş müessesesi resmi web sayfası vasıtasıyla kamuya ve özele on binlerce eleman alımı inşa ediliyor,OTHER
kadın erkeğin şeytanıdır,SEXIST
öten sik,PROFANITY
il gıda tarım ve hayvancılık müdürlüğünce kurban bayramı süresince gıda denetimlerine devam edecektir,OTHER
2 milyon suriyeli yerine bu 10 milyon siyahi insanların gelmesine razıyım,RACIST
Kadına tecavüz eden adamların yarrağı kesilsin,PROFANITY
sonuçta insanları sorumlu yapmalısınız,OTHER
bana bu şerefsizliği yapmayacaktın,INSULT
Kadınlar iş hayatında erkeklere göre daha başarılıdırlar,SEXIST
onun oğlu 4 işlem bile yapamıyor,INSULT
babanın şarap çanağına boşalır anana sütlaç diye yediririm,PROFANITY
siyah insanlarla beyaz insanlar tabiki de bir olamaz,RACIST
İspanyollar sıcak kanlı görünen ve girdiği her yeri yakıp yıkan bir ırktır,RACIST
Yahudiler diğerlerine göre daha az maaş alıyor,RACIST
Dün Almanların Yahudilere yaptığını bugün faşist Yahudiler müslüman Filistin halkına yapmaktadır,RACIST
baykal şunları ifade etti,OTHER
aradigim seyi bulmaya basliyordum,OTHER
Suriyeliler burayı talan ettiler,RACIST
kadın bir yöneticinin altında çalışmak erkeğe yakışır mı,SEXIST
karakterini pazardan mı aldın,INSULT
Seni aydinlatan gunesi sikeyim,PROFANITY
sempozyum dili türkçe ve ingilizce dir,OTHER
bize bir yıl yeter,OTHER
İflah olmaz bi dalyaraksın,PROFANITY
şeriatı öven kadınlar avrupaya gidip gününü gün ediyorlar,RACIST
özellikle zor günler geçiren kulüplerimize destek olmalıdır kim olursa olsun,OTHER
oyumuz özellikle modern bölgelerde arttı,OTHER
boşanmadan önce iyi düşün sana dul diyecekler seni hor görecekler,SEXIST
benim evim seninki gibidir,OTHER
kendi ülkemizde Suriyeliler kadar olamıyoruz,RACIST
bana karşı nazik müşfik ve özverili oldun,OTHER
amına kodumun- götveren& kahpesi,PROFANITY
ağzından bok çıkacağına götünden bok çıksın,PROFANITY
Mülteciler yaşam tarzımıza yönelik tehdidi artıracak cihatçılar tacizciler tecavüzcülerdir,RACIST
ancak görünen köy kılavuz istemez orta sahaya bir beyin lazım,OTHER
koca karı ilacını denemelisin,OTHER
kalıp kıyafetle adam adam olur mu hiç,SEXIST
Senin ben ebeni sikiyim kılıbık,PROFANITY
seni param ile satın alırım,INSULT
bu artık devlet politikasıdır,OTHER
Osuruklu göte arpa ekmeği bahane,PROFANITY
kız çocuklarınıza hizmet etmeyi öğretin,SEXIST
Kadınsa at çöpe,SEXIST
Sen git kocan gelsin,SEXIST
götüne laleler girsin,PROFANITY
sana kuvvet uygulayan yer çekimini sikeyim,PROFANITY
cumhuriyetin başından bu yana nüfus yapısındaki değişmeler iktidarlar tarafından sosyal ve çoğunlukla da ekonomik kaygılarla bir sorun olarak nitelendirildi,OTHER
tohumluk gübre fiyatları ortada,OTHER
seni gidi kepçe kulak,INSULT
Kızılderililer insan yerler,RACIST
Gözüm görmesin seni Pislik,INSULT
Almanyada yerlerde bir çöp yokmuş adamlar uğraşmış aramışlar buldukları çöp de bir Türk sigara kutusuymuş,RACIST
yosma kadınlara benzedin,INSULT
Savaş zanlısı Amerika heryeri işgal ediyor,RACIST
Denizde mantar am siki tartar,PROFANITY
Gurursuz gibi mesaj atmayı düşünme,INSULT
Senin ben kaynananı sikeyim,PROFANITY
Bana adımın ne olduğunu sordu,OTHER
Sana göre	küfür bana göre> argo oruspuya göre iltifat.,PROFANITY
o konuşamayacak kadar- öfkeliydi,OTHER
o yetenekli bir avukattır,OTHER
kümes gibi yerde yaşıyorsun,INSULT
bir kerede beceriver,INSULT
Nereden buldun bu alevi kızı,RACIST
Tuz olsan yemeğe ekilmezsin,INSULT
adam gibi adam ol,SEXIST
bir gıdım beyin yok mu o kafanda?,INSULT
bilgisayar destekli eğitim kişiseldir,OTHER
senin ayakkabının tabanını sikiyim,PROFANITY
Senden insanlık beklemek hatadır,INSULT
hayvan gibi olmuşsun,INSULT
Herkes ondan uzak durmalıdır,INSULT
kimi hindu kimi yamyam kimi bilmem ne bela,RACIST
bir kadını eğitmek maymunun eline bıçak vermek gibidir,SEXIST
kadın aklınla işe kalkışma,SEXIST
Canın çıksın o yapılır mı,INSULT
Bence sen de herkes gibisin boşuna uğraşma,INSULT
varos hareketlerinden vazgec,INSULT
yavşak yavşak ne bakıyorsun,PROFANITY
hepimizin gözünün önüne cem yılmaz in o hali geldi çünkü,OTHER
bu ülkenin ve milletin haysiyeti zorbalıkla elimizden alınan her şeyimizi ve şehitlerimizin intikamını almak üzerine kuruludur,OTHER
inek gibi çalıştın da ne oldu,INSULT
şimdi siki tuttuk,PROFANITY
Bu gibi durumlarda hep salağa yatıyor,INSULT
yerden bitme,INSULT
Arap eli öpülmez,RACIST
Bokumun dumanı,PROFANITY
seni hayvan eti yemiş,INSULT
